,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,FL_DATE,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME_BLK,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
0,WN,5888,1/1/2020,1,1,3,ONT,SFO,1810,1800-1859,1945,1900-1959,95.0,363,2
1,WN,6276,1/1/2020,1,1,3,ONT,SFO,1150,1100-1159,1320,1300-1359,90.0,363,2
2,WN,4598,1/1/2020,1,1,3,ONT,SJC,2020,2000-2059,2130,2100-2159,70.0,333,2
3,WN,4761,1/1/2020,1,1,3,ONT,SJC,1340,1300-1359,1455,1400-1459,75.0,333,2
4,WN,5162,1/1/2020,1,1,3,ONT,SJC,915,0900-0959,1035,1000-1059,80.0,333,2
5,WN,5684,1/1/2020,1,1,3,ONT,SJC,600,0600-0659,715,0700-0759,75.0,333,2
6,WN,6152,1/1/2020,1,1,3,ONT,SJC,1620,1600-1659,1740,1700-1759,80.0,333,2
7,WN,1679,1/1/2020,1,1,3,ONT,SMF,1505,1500-1559,1630,1600-1659,85.0,390,2
8,WN,3479,1/1/2020,1,1,3,ONT,SMF,1230,1200-1259,1355,1300-1359,85.0,390,2
9,WN,4069,1/1/2020,1,1,3,ONT,SMF,740,0700-0759,900,0900-0959,80.0,390,2
10,WN,4905,1/1/2020,1,1,3,ONT,SMF,1025,1000-1059,1155,1100-1159,90.0,390,2
11,WN,4918,1/1/2020,1,1,3,ONT,SMF,2040,2000-2059,2155,2100-2159,75.0,390,2
12,WN,5144,1/1/2020,1,1,3,ONT,SMF,2250,2200-2259,5,0001-0559,75.0,390,2
13,WN,5722,1/1/2020,1,1,3,ONT,SMF,1810,1800-1859,1930,1900-1959,80.0,390,2
14,WN,3719,1/1/2020,1,1,3,ORF,BWI,1130,1100-1159,1235,1200-1259,65.0,159,1
15,WN,4863,1/1/2020,1,1,3,ORF,BWI,630,0600-0659,730,0700-0759,60.0,159,1
16,WN,4924,1/1/2020,1,1,3,ORF,BWI,2020,2000-2059,2120,2100-2159,60.0,159,1
17,WN,5321,1/1/2020,1,1,3,ORF,BWI,1745,1700-1759,1855,1800-1859,70.0,159,1
18,WN,4618,1/1/2020,1,1,3,ORF,MCO,1050,1000-1059,1255,1200-1259,125.0,655,3
19,WN,5992,1/1/2020,1,1,3,ORF,MDW,1650,1600-1659,1810,1800-1859,140.0,704,3
20,WN,1765,1/1/2020,1,1,3,PBI,ATL,1300,1300-1359,1450,1400-1459,110.0,545,3
21,WN,4887,1/1/2020,1,1,3,PBI,BWI,700,0700-0759,915,0900-0959,135.0,883,4
22,WN,4917,1/1/2020,1,1,3,PBI,BWI,1750,1700-1759,2010,2000-2059,140.0,883,4
23,WN,5068,1/1/2020,1,1,3,PBI,BWI,1100,1100-1159,1320,1300-1359,140.0,883,4
24,WN,745,1/1/2020,1,1,3,PBI,ISP,755,0700-0759,1030,1000-1059,155.0,1052,5
25,WN,3316,1/1/2020,1,1,3,PBI,ISP,1935,1900-1959,2215,2200-2259,160.0,1052,5
26,WN,1537,1/1/2020,1,1,3,PDX,BUR,1900,1900-1959,2110,2100-2159,130.0,817,4
27,WN,6316,1/1/2020,1,1,3,PDX,DAL,1130,1100-1159,1705,1700-1759,215.0,1626,7
28,WN,1899,1/1/2020,1,1,3,PDX,DEN,925,0900-0959,1245,1200-1259,140.0,991,4
29,WN,1970,1/1/2020,1,1,3,PDX,DEN,1310,1300-1359,1630,1600-1659,140.0,991,4
30,WN,3942,1/1/2020,1,1,3,PDX,DEN,1515,1500-1559,1835,1800-1859,140.0,991,4
31,WN,4911,1/1/2020,1,1,3,PDX,DEN,2000,2000-2059,2315,2300-2359,135.0,991,4
32,WN,5390,1/1/2020,1,1,3,PDX,DEN,615,0600-0659,935,0900-0959,140.0,991,4
33,WN,4495,1/1/2020,1,1,3,PDX,LAS,1440,1400-1459,1650,1600-1659,130.0,763,4
34,WN,5236,1/1/2020,1,1,3,PDX,LAS,1015,1000-1059,1215,1200-1259,120.0,763,4
35,WN,6173,1/1/2020,1,1,3,PDX,LAS,700,0700-0759,905,0900-0959,125.0,763,4
36,WN,1997,1/1/2020,1,1,3,PDX,LAX,1835,1800-1859,2100,2100-2159,145.0,834,4
37,WN,6117,1/1/2020,1,1,3,PDX,LAX,605,0600-0659,830,0800-0859,145.0,834,4
38,WN,3780,1/1/2020,1,1,3,PDX,MDW,545,0001-0559,1130,1100-1159,225.0,1751,8
39,WN,6215,1/1/2020,1,1,3,PDX,MDW,1440,1400-1459,2035,2000-2059,235.0,1751,8
40,WN,3735,1/1/2020,1,1,3,PDX,OAK,800,0800-0859,945,0900-0959,105.0,543,3
41,WN,4230,1/1/2020,1,1,3,PDX,OAK,1650,1600-1659,1840,1800-1859,110.0,543,3
42,WN,5263,1/1/2020,1,1,3,PDX,OAK,2025,2000-2059,2210,2200-2259,105.0,543,3
43,WN,5845,1/1/2020,1,1,3,PDX,OAK,1205,1200-1259,1355,1300-1359,110.0,543,3
44,WN,4802,1/1/2020,1,1,3,PDX,ONT,1110,1100-1159,1320,1300-1359,130.0,838,4
45,WN,4093,1/1/2020,1,1,3,PDX,PHX,1045,1000-1059,1415,1400-1459,150.0,1009,5
46,WN,5830,1/1/2020,1,1,3,PDX,PHX,605,0600-0659,935,0900-0959,150.0,1009,5
47,WN,4561,1/1/2020,1,1,3,PDX,SAN,2045,2000-2059,2310,2300-2359,145.0,933,4
48,WN,5377,1/1/2020,1,1,3,PDX,SAN,1320,1300-1359,1545,1500-1559,145.0,933,4
49,WN,2068,1/1/2020,1,1,3,PDX,SJC,1315,1300-1359,1505,1500-1559,110.0,569,3
